标题,地区,位置,具体位置,均价,平方米每元/单位,总价,类型,面积,标签,室厅数,均价/平方米每元
空港国际·科技谷,花都,花东镇,凤祥路空港国际·科技谷,价格待定,,,待售,,"小型社区, 公交直达, 超市, 公园",,价格待定
云平上品,白云,东平,白云大道北云庐,55000, 元/㎡(均价),总价560-1080(万/套),在售,建面 128-172㎡,"车位充足, 绿化率高, 国央企, 品牌房企",4室,"55000,  元/㎡(均价)"
品秀星图,增城,新塘北,广州地铁13号线官湖车辆段（官湖站B出口）,36000, 元/㎡(均价),,在售,,"车位充足, 人车分流, 国央企, 品牌房企",,"36000,  元/㎡(均价)"
越秀大学星汇锦城,番禺,南村,南村东线路越秀大学星汇锦城,30000, 元/㎡(均价),总价220-400(万/套),在售,建面 70-126㎡,"低单价, 低总价, 绿化率高, 人车分流","3室, 4室","30000,  元/㎡(均价)"
琶洲樾,海珠,磨碟沙,新港东路琶洲樾,价格待定,,,待售,,"小型社区, 国央企, 品牌房企, 近地铁",,价格待定
保利·天瑞,天河,汇景新城,广园快速路保利·天瑞,80000, 元/㎡(均价),总价890-2500(万/套),在售,建面 107-268㎡,"车位充足, 绿化率高, 国央企, 品牌房企","3室, 4室","80000,  元/㎡(均价)"
珠江国际城,从化,神岗镇,广从南路珠江壹城,19000, 元/㎡(均价),总价110(万/套),在售,建面 26-53㎡,"人车分流, 大型社区, 品牌房企, 近地铁",1室,"19000,  元/㎡(均价)"
保利瑧誉,荔湾,坑口,东漖街保利瑧誉,55000, 元/㎡(均价),总价520-950(万/套),在售,建面 88-170㎡,"绿化率高, 人车分流, 国央企, 品牌房企","3室, 4室","55000,  元/㎡(均价)"
品秀·星瀚,番禺,广州南站,大榄地路品秀·星瀚,30000, 元/㎡(均价),总价80(万/套),在售,,"低总价, 车位充足, 人车分流, 国央企",,"30000,  元/㎡(均价)"
科城·新世代,黄埔,知识城,四横路科城·新世代,价格待定,,,在售,,"小型社区, 近地铁, 地铁沿线, 超市",,价格待定
丰盛101,增城,新塘北,民营西一路丰盛101,价格待定,,,待售,,"小型社区, 品牌房企, 地铁沿线, 公交直达",,价格待定
龙湖御湖境,番禺,大石,迎宾路龙湖御湖境,42000, 元/㎡(均价),总价480-888(万/套),在售,建面 115-206㎡,"车位充足, 绿化率高, 品牌房企, 地铁沿线",4室,"42000,  元/㎡(均价)"
珠实·西关都荟,荔湾,南岸路,荔湾区南岸路26号,70000, 元/㎡(均价),总价580-1100(万/套),在售,建面 89-142㎡,"人车分流, 小型社区, 国央企, 品牌房企","4室, 5室","70000,  元/㎡(均价)"
正升星荟,白云,石井,石沙公路正升星荟,价格待定,,,待售,,"小型社区, 品牌房企, 近地铁, 地铁沿线",,价格待定
保利锦上,黄埔,香雪,隧南路保利锦上,35000, 元/㎡(均价),总价190(万/套),在售,建面 79㎡,"车位充足, 人车分流, 国央企, 品牌房企",,"35000,  元/㎡(均价)"
光大ONE+,增城,永宁,香山大道与创盈路交汇处,价格待定,,,待售,,"大型社区, 品牌房企, 公交直达, 超市",,价格待定
上馨华府,番禺,大石,新光快速上馨华府,28000, 元/㎡(均价),总价260(万/套),在售,,"低单价, 低总价, 绿化率高, 低密居所",,"28000,  元/㎡(均价)"
广州地铁地产珑璟台,海珠,赤岗,龙潭东环街广州地铁地产·珑璟台,85000, 元/㎡(均价),总价900-2000(万/套),在售,建面 120-195㎡,"人车分流, 小型社区, 国央企, 品牌房企","3室, 4室","85000,  元/㎡(均价)"
万科瑧樾府,越秀,东川路,东濠涌高架路万科·瑧樾府,90000, 元/㎡(均价),总价1375-1800(万/套),在售,建面 107-180㎡,"小型社区, 封闭管理, 国央企, 品牌房企","3室, 4室","90000,  元/㎡(均价)"
广建·云城学府,白云,,广州市白云区广建·云城学府,价格待定,,,待售,,"绿化率高, 大型社区, 国央企, 品牌房企",,价格待定
长隆万博悦府,番禺,汉溪长隆,汉溪大道东长隆万博悦府,65000, 元/㎡(均价),总价630-2300(万/套),在售,建面 108-300㎡,"特价好房, 车位充足, 绿化率高, 国央企","4室, 5室","65000,  元/㎡(均价)"
粤海壹桂府,越秀,海珠广场,北京路粤海壹桂府,价格待定,,,待售,,"国央企, 品牌房企, 近地铁, 地铁沿线",,价格待定
广州之窗商务港,海珠,沥滘,新城市中轴线南段端点西侧，南临珠江后航道,价格待定,,,待售,,"大型社区, 国央企, 品牌房企, 近地铁",,价格待定
亿凯创智汇,白云,太和,北太路亿凯创智汇,价格待定,,,待售,,"小型社区, 地铁沿线, 公交直达, 综合商场",,价格待定
晓庐,海珠,磨碟沙,新港东路晓庐,价格待定,,,待售,,"小型社区, 近地铁, 地铁沿线, 超市",,价格待定
东基天河阳光,天河,黄村,大观街东基·天河阳光,38000, 元/㎡(均价),总价120(万/套),在售,,"低总价, 人车分流, 小型社区, 品牌房企",,"38000,  元/㎡(均价)"
保利阅江台,海珠,滨江东,广东省广州市海珠区玉菡路50号,92000, 元/㎡(均价),总价1100-1900(万/套),在售,建面 121-208㎡,"车位充足, 人车分流, 国央企, 品牌房企",4室,"92000,  元/㎡(均价)"
广州足球公园,番禺,钟村,谢村地铁站旁,价格待定,,,待售,,"大型社区, 国央企, 品牌房企, 近地铁",,价格待定
江语上品苑,白云,石井,广州市白云区广海路以北,45000, 元/㎡(均价),总价570-2500(万/套),在售,建面 125-319㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室","45000,  元/㎡(均价)"
淘金山花园,增城,朱村,朱村街淘金山花园,价格待定,,,待售,,"小型社区, 超市",,价格待定
旺村·知筑,黄埔,知识城,旺村西路旺村知筑,价格待定,,,待售,,"小型社区, 国央企, 地铁沿线, 公交直达",,价格待定
华润置地天河润府,天河,黄村,广州天河奥体天河区·广园快速路·天河儿童公园旁,60000, 元/㎡(均价),总价410-800(万/套),在售,建面 81-130㎡,"优惠楼盘, 车位充足, 绿化率高, 国央企","3室, 4室","60000,  元/㎡(均价)"
君熙府,越秀,北京路,解放中路392号,85000, 元/㎡(均价),总价733-1390(万/套),在售,建面 93-146㎡,"车位充足, 人车分流, 近地铁, 地铁沿线","3室, 4室","85000,  元/㎡(均价)"
云瀚府,越秀,东川路,白云路29-31号,100000, 元/㎡(均价),总价1250-2100(万/套),在售,建面 130-197㎡,"车位充足, 人车分流, 品牌房企, 近地铁","3室, 5室","100000,  元/㎡(均价)"
佳兆业佳泽园,增城,荔城西区,荔城街增城大道钟岗地铁D出口附近,18500, 元/㎡(均价),总价130(万/套),在售,,"低单价, 车位充足, 人车分流, 品牌房企",,"18500,  元/㎡(均价)"
保利水木芳华,增城,朱村,朱村大道西保利水木芳华,25000, 元/㎡(均价),总价130(万/套),待售,,"人车分流, 小型社区, 国央企, 品牌房企",,"25000,  元/㎡(均价)"
铂玥明珠ONE,南沙,明珠湾,文字路铂玥明珠ONE,14000, 元/㎡(均价),总价92-119(万/套),在售,建面 54-70㎡,"车位充足, 人车分流, 品牌房企, 近地铁","2室, 3室","14000,  元/㎡(均价)"
中海浣花里,荔湾,坑口,浣花路中海浣花里,46000, 元/㎡(均价),总价400(万/套),在售,建面 71-108㎡,"人车分流, 小型社区, 国央企, 品牌房企",,"46000,  元/㎡(均价)"
武汉城建·保利·花语和岸,荔湾,芳村,广东省广州市荔湾区花地街道涌岸街武汉城建·保利·花语和岸,51000, 元/㎡(均价),总价420-760(万/套),在售,建面 86-142㎡,"绿化率高, 人车分流, 品牌房企, 近地铁","3室, 4室","51000,  元/㎡(均价)"
青云喜满园,从化,旺城片区,和鸣路青云喜满园,价格待定,,,待售,,"车位充足, 绿化率高, 公交直达, 综合商场",,价格待定
朗悦时光里,花都,铁路西,瑞云路朗悦时光里,价格待定,,,待售,,"人车分流, 小型社区, 近地铁, 地铁沿线",,价格待定
保利琅誉,番禺,番禺客运站,广东省广州市番禺区傍雁路98号,38000, 元/㎡(均价),总价330-490(万/套),在售,建面 92-132㎡,"低总价, 车位充足, 绿化率高, 国央企",2室,"38000,  元/㎡(均价)"
路劲美的隽樾府,番禺,番禺广场,广东省广州市番禺区东盛路50号,38000, 元/㎡(均价),总价430-510(万/套),在售,建面 87-132㎡,"车位充足, 人车分流, 品牌房企, 近地铁",3室,"38000,  元/㎡(均价)"
明月豪庭,越秀,西门口,解放中路明月豪庭,28000, 元/㎡(均价),总价321(万/套),在售,建面 42-109㎡,"小型社区, 近地铁, 地铁沿线, 大两居",2室,"28000,  元/㎡(均价)"
保利和颂,荔湾,坑口,浣花路保利和颂,46000, 元/㎡(均价),总价370-469(万/套),在售,建面 72-99㎡,"低总价, 人车分流, 小型社区, 国央企","1室, 3室","46000,  元/㎡(均价)"
国贸云上,白云,嘉禾望岗,白云-嘉禾望岗/松园路国贸云上,50000, 元/㎡(均价),总价390-615(万/套),在售,建面 85-143㎡,"绿化率高, 人车分流, 国央企, 品牌房企","3室, 4室","50000,  元/㎡(均价)"
嘉禧天和大厦,天河,黄村,广州市天河区黄村康体路,价格待定,,,待售,,"人车分流, 小型社区, 近地铁, 多轨交汇",,价格待定
广州城投·天赋壹号,天河,金融城,广东省广州市天河区临江大道北,价格待定,,,在售,,"人车分流, 小型社区, 国央企, 品牌房企",,价格待定
中金岭南鑫贸大厦,南沙,明珠湾,沙嘴东路中金岭南鑫贸大厦,价格待定,,,待售,,"小型社区, 国央企, 地铁沿线, 公交直达",,价格待定
星河智荟二期,南沙,明珠湾,新村街星河智荟二期,20000, 元/㎡(均价),总价400(万/套),在售,建面 88-183㎡,"低单价, 低总价, 绿化率高, 人车分流",3室,"20000,  元/㎡(均价)"
建发央玺,白云,石井,石潭路444号,价格待定,,,待售,,"大型社区, 国央企, 品牌房企, 近地铁",,价格待定
建发明珠湾玺,南沙,明珠湾,凤凰大道建发明珠湾玺,19500, 元/㎡(均价),总价70(万/套),在售,,"人车分流, 封闭管理, 国央企, 品牌房企",,"19500,  元/㎡(均价)"
建发明珠湾玺,南沙,明珠湾,凤凰大道建发明珠湾玺,19500, 元/㎡(均价),总价70-130(万/套),在售,建面 36-72㎡,"低总价, 人车分流, 封闭管理, 国央企","0室, 1室","19500,  元/㎡(均价)"
金海岸花园观海,番禺,番禺客运站,广东省广州市番禺区金海岸大道87号,50000, 元/㎡(均价),总价1130-1590(万/套),在售,建面 220-318㎡,"绿化率高, 大平层, 动静分明, 现房","4室, 5室","50000,  元/㎡(均价)"
敏捷东樾府,增城,石滩镇,绿湖南路西南向,价格待定,,,待售,,"车位充足, 人车分流, 品牌房企, 公交直达",,价格待定
润悦,增城,荔城西区,广汕公路华润置地润悦,价格待定,,,待售,,"大型社区, 国央企, 品牌房企, 公交直达",,价格待定
中新知识城国际领军人才集聚区,黄埔,知识城,狮龙大道中（凤凰湖北岸）,价格待定,,,待售,,"大型社区, 近地铁, 地铁沿线, 综合商场",,价格待定
广州城投未来智都,白云,江夏,云康南路广州城投未来智都,价格待定,,,待售,,"小型社区, 国央企, 近地铁, 地铁沿线",,价格待定
奥园湾区智谷,南沙,东涌,纵三路奥园湾区智谷,价格待定,,,待售,,"小型社区, 品牌房企, 地铁沿线, 公园",,价格待定
高新仕林苑,黄埔,长岭居,广州黄埔长岭居萝岭路以东、长贤路以南,35000, 元/㎡(均价),总价360-720(万/套),在售,建面 99-181㎡,"车位充足, 绿化率高, 国央企, 品牌房企","3室, 4室, 5室","35000,  元/㎡(均价)"
越秀白云星汇城,白云,钟落潭,14号线钟落潭地铁站旁,价格待定,,,待售,,"大型社区, 国央企, 品牌房企, 地铁沿线",,价格待定
金茂万科都会四季商铺,增城,白江,新塘镇东江大道和沿江大道交汇处,价格待定,,,待售,,"车位充足, 人车分流, 国央企, 品牌房企",,价格待定
国化广场,白云,白云大道南,广东省广州市白云区云城北二路116号,价格待定,,,待售,,"车位充足, 人车分流, 近地铁, 地铁沿线",,价格待定
东基天河阳光,天河,黄村,大观街东基·天河阳光,价格待定,,,待售,,"人车分流, 小型社区, 品牌房企, 地铁沿线",,价格待定
中海江泰里,海珠,江燕路,广东省广州市海珠区江泰路46号,价格待定,,,待售,,"小型社区, 国央企, 品牌房企, 近地铁",,价格待定
星河畔月湾,南沙,横沥,新广一路星河畔月湾,价格待定,,,待售,,"车位充足, 大型社区, 公交直达, 公园",,价格待定
耀胜新世界广场,番禺,汉溪长隆,汉兴西路耀胜新世界广场,价格待定,,,待售,,"小型社区, 品牌房企, 近地铁, 多轨交汇",,价格待定
万科黄埔新城,黄埔,南岗,广东省广州市黄埔区沙步大路12,价格待定,,,待售,,"车位充足, 人车分流, 国央企, 品牌房企",,价格待定
中建凤榕台,增城,朱村,新时路中建凤榕台,价格待定,,,待售,,"小型社区, 国央企, 品牌房企, 近地铁",,价格待定
IN PARK星贸中心,黄埔,科学城,广东省广州市黄埔区科学城联和街道映日路74号,价格待定,,,在售,,"人车分流, 封闭管理, 国央企, 品牌房企",,价格待定
中建·星光城,白云,石井,石沙路与朝阳联滘街交界处,价格待定,,,待售,,"小型社区, 国央企, 品牌房企, 近地铁",,价格待定
嘉禧天和,天河,黄村,黄村康体路嘉禧天和,价格待定,,,待售,,"小型社区, 近地铁, 多轨交汇, 超市",,价格待定
金祥大厦,荔湾,流花站前,站前路193号,价格待定,,,待售,,"小型社区, 近地铁, 地铁沿线, 超市",,价格待定
天鹅壹号,海珠,洪德,环岛路天鹅壹号,价格待定,,,待售,,"小型社区, 近地铁, 多轨交汇, 超市",,价格待定
粤海·云港城,白云,白云大道南,云城西路粤海·云港城,40000, 元/㎡(均价),总价580-660(万/套),在售,建面 129-148㎡,"人车分流, 大型社区, 国央企, 品牌房企","3室, 4室","40000,  元/㎡(均价)"
星河发展大厦,南沙,明珠湾,广东省广州市南沙区横沥镇星河发展大厦,价格待定,,,待售,,"车位充足, 小型社区, 品牌房企, 地铁沿线",,价格待定
迈谷·天河科融苑,天河,车陂,车陂西路迈谷科融苑,价格待定,,,待售,,"小型社区, 近地铁, 地铁沿线, 超市",,价格待定
银帝云珹天地,白云,白云大道南,云城东路银帝云珹天地,价格待定,,,待售,,"车位充足, 人车分流, 品牌房企, 近地铁",,价格待定
广州力合科创中心,白云,石井,石门街道广州力合科创中心,价格待定,,,待售,,"小型社区, 国央企, 品牌房企, 近地铁",,价格待定
城投天禧,天河,智慧城,广州市天河区智慧城华观路与大观中路交界处(地铁21号线天河智慧城站B出口可达),43000, 元/㎡(均价),总价450-650(万/套),在售,建面 108-138㎡,"车位充足, 绿化率高, 国央企, 品牌房企","3室, 4室","43000,  元/㎡(均价)"
建鑫荔棠雅苑,增城,新塘北,广深大道中88号,价格待定,,,在售,,"小型社区, 地铁沿线, 公交直达, 未来2年内交房",,价格待定
新世界·天馥,荔湾,滘口,珠江桥南侧花卉研究所西侧,41000, 元/㎡(均价),总价295-620(万/套),在售,建面 76-139㎡,"低总价, 绿色建筑, 人车分流, 品牌房企","3室, 4室","41000,  元/㎡(均价)"
黄埔创新中心,黄埔,黄埔区府,丰乐北路雅居乐黄埔创新中心,价格待定,,,待售,,"小型社区, 地铁沿线, 公交直达, 综合商场",,价格待定
珠江国际创业中心,增城,新塘北,新塘镇创想路8号,价格待定,,,待售,,"国央企, 品牌房企, 公交直达, 综合商场",,价格待定
金茂万科都会四季,增城,白江,新塘镇东江大道和沿江大道交汇处,价格待定,,,待售,,"车位充足, 人车分流, 国央企, 品牌房企",,价格待定
钧明欢乐世界,增城,永宁,镇永和誉山国际山语一街5号一层,价格待定,,,待售,,"小型社区, 品牌房企, 公交直达, 综合商场",,价格待定
铂玥明珠ONE,南沙,明珠湾,文字路铂玥明珠ONE,价格待定,,,待售,,"小型社区, 品牌房企, 近地铁, 地铁沿线",,价格待定
朗悦时光里,花都,铁路西,瑞云路朗悦时光里,价格待定,,,待售,,"小型社区, 近地铁, 地铁沿线, 综合商场",,价格待定
鱼珠·星河里,黄埔,大沙地,护林路2号（天河珠村东侧）,价格待定,,,待售,,"小型社区, 多轨交汇, 地铁沿线, 综合商场",,价格待定
