标题,地区,位置,具体位置,resblock-tag1 resblock-tag_resblock-type_resblock-tag2_resblock-tag3,均价/平方米每元,总价,类型,室厅数,面积
钧明欢乐世界,增城,永宁,镇永和誉山国际山语一街5号一层,"小型社区, 品牌房企, 公交直达, 综合商场",价格待定,,待售,,
铂玥明珠ONE,南沙,明珠湾,文字路铂玥明珠ONE,"小型社区, 品牌房企, 近地铁, 地铁沿线",价格待定,,待售,,
朗悦时光里,花都,铁路西,瑞云路朗悦时光里,"小型社区, 近地铁, 地铁沿线, 综合商场",价格待定,,待售,,
鱼珠·星河里,黄埔,大沙地,护林路2号（天河珠村东侧）,"小型社区, 多轨交汇, 地铁沿线, 综合商场",价格待定,,待售,,
广开云汇科技金融中心,黄埔,科学城,科学大道广开云汇科技金融中心,"人车分流, 大型社区, 国央企, 品牌房企",28000,总价145-300(万/套),在售,"1室, 2室, 3室",建面 48-115㎡
珠江科技创新园,海珠,官洲,新滘东路珠江科技创新园,"小型社区, 品牌房企, 地铁沿线, 公交直达",价格待定,,待售,,
中海天幕湾,番禺,亚运城,兴亚五路中海天幕湾,"车位充足, 人车分流, 国央企, 品牌房企",36000,总价850(万/套),在售,4室,建面 180-237㎡
云筑上品,白云,夏茅,广东省广州市白云区鹤边细彭岭路4号,"车位充足, 绿化率高, 国央企, 品牌房企",43000,总价350-670(万/套),在售,"3室, 4室",建面 88-142㎡
珠江铂世湾,番禺,雅居乐,江山帝景高尔夫东侧,"车位充足, 人车分流, 品牌房企, 地铁沿线",价格待定,,待售,,
首开保利.云湖壹号,白云,夏茅,向西大道白云湖东门旁,"低总价, 车位充足, 人车分流, 国央企",47000,总价140(万/套),在售,1室,建面 30㎡
中建联投学府悦城,增城,荔城西区,增城大道318号,"车位充足, 人车分流, 国央企, 品牌房企",28000,,在售,,
五矿招商江天际,白云,石井,广东省广州市白云区,"低总价, 人车分流, 大型社区, 国央企",价格待定,,在售,,
晟云台,白云,龙归,广东省广州市白云区石湖新大路晟云台,"低总价, 车位充足, 人车分流, 地铁沿线",35000,总价2200(万/套),在售,,
保利湖光悦色,海珠,赤岗,华洲路保利湖光悦色,"车位充足, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
保利云境,白云,黄石,鹤联街保利云境,"低总价, 绿化率高, 人车分流, 国央企",36000,总价250-310(万/套),在售,"1室, 2室",建面 68-110㎡
越秀·观樾,天河,黄村,黄村街道越秀观樾,"车位充足, 绿化率高, 国央企, 置换改善",85000,总价1100-2250(万/套),在售,4室,建面 125-250㎡
海丝未来时区,黄埔,知识城,龙湖街道海丝未来时区,"小型社区, 国央企, 近地铁, 地铁沿线",价格待定,,待售,,
星灿大厦,天河,黄村,大观街星灿大厦,"小型社区, 品牌房企, 地铁沿线, 综合商场",价格待定,,待售,,
ing未来印,天河,车陂,车陂街道未来印,"小型社区, 品牌房企, 近地铁, 多轨交汇",价格待定,,待售,,
时代天逸,南沙,黄阁,黄阁地铁站A出口,"车位充足, 大型社区, 品牌房企, 近地铁",价格待定,,在售,,
星河·湾区壹号,南沙,金洲,金苑大街与金苑横街交叉口西,"品牌房企, 地铁沿线, 公交直达, 超市",价格待定,,待售,,
华宇·锦绣云赋,从化,旧城区,从城大道风云岭段北侧,"车位充足, 人车分流, 品牌房企, 公交直达",价格待定,,待售,,
升龙·学府上城,黄埔,知识城,九龙大道,"小型社区, 品牌房企, 近地铁, 地铁沿线",价格待定,,待售,,
越秀珠实天悦海湾,南沙,南沙港,南沙商贸大道天悦海湾,"低总价, 车位充足, 人车分流, 国央企",10000,总价45(万/套),在售,,
中鼎书院上城,黄埔,黄埔区府,丰乐北路68号,"大型社区, 近地铁, 地铁沿线, 综合商场",价格待定,,待售,,
富力富云山,白云,江夏,黄石西街23号,"车位充足, 大型社区, 品牌房企, 近地铁",价格待定,,待售,,
奥飞文创中心,黄埔,知识城,创新大道以西、凤湖二路以北,"小型社区, 地铁沿线, 综合商场, 超市",价格待定,,待售,,
星际云汇,黄埔,香雪,彩文路星际云汇,"小型社区, 国央企, 近地铁, 地铁沿线",价格待定,,待售,,
招商湾区1872,南沙,东涌,港科大广州校区旁,"车位充足, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
越秀中国铁建南投海语天悦湾,南沙,明珠湾,凤凰大道越秀中国铁建南投海语天悦湾,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,待售,,
云裳峯尚,白云,同和,白水塘中街云裳峯尚,"小型社区, 品牌房企, 近地铁, 地铁沿线",价格待定,,待售,,
卓越招商臻珑府,黄埔,夏园,龙头路卓越招商臻珑府,"人车分流, 小型社区, 国央企, 品牌房企",价格待定,,在售,,
中洲紫轩,黄埔,鱼珠,中山大道东中洲紫轩,"小型社区, 品牌房企, 近地铁, 多轨交汇",价格待定,,待售,,
保利翔龙天汇,黄埔,科学城,广汕公路黄陂地铁站B出口(第一一七中学旁),"车位充足, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
天健天玺,黄埔,长岭居,长岭街道岭头社区S379(永顺大道),"国央企, 品牌房企, 地铁沿线, 公交直达",价格待定,,待售,,
广州城投·天赋壹号,天河,金融城,广东省广州市天河区临江大道北,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
凯德双桥新作,荔湾,大坦沙,裕福街凯德双桥新作,"人车分流, 小型社区, 品牌房企, 近地铁",价格待定,,待售,,
合景月养云来,增城,荔城西区,白石路合景月养云来,"小型社区, 品牌房企, 超市",价格待定,,待售,,
广州白云站TOD粤胜广场,白云,同德围,中国.广州白云站TOD,"低总价, 车位充足, 人车分流, 国央企",30000,总价7804.8(万/套),在售,1室,建面 2439㎡
琶洲公馆,海珠,琶洲中,新港东路608号,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,待售,,
广州滨江上都璇湾,荔湾,鹤洞,芳村大道南广州滨江上都,"大型社区, 品牌房企, 多轨交汇, 地铁沿线",价格待定,,待售,,
大华城东瀚,增城,朱村,朱村大道东大华城东瀚,"车位充足, 人车分流, 品牌房企, 近地铁",26000,,在售,,
明月豪庭,越秀,西门口,解放中路明月豪庭,"小型社区, 近地铁, 地铁沿线, 大两居",28000,总价321(万/套),在售,2室,建面 42-132㎡
新城市领院,天河,东圃,桃园西路新城市领院,"车位充足, 绿化率高, 高品质小区, 品牌房企",80000,总价1800(万/套),在售,,
晟云台,白云,龙归,石湖新大路晟云台,"车位充足, 小型社区, 地铁沿线, 超市",价格待定,,待售,,
中国软件CBD,黄埔,文冲,护林路中国软件CBD,"小型社区, 国央企, 地铁沿线, 公交直达",价格待定,,待售,,
中国铁建招商蛇口西派天河序,天河,沙太南,广东省广州市天河区牛利岗北街168号,"车位充足, 人车分流, 国央企, 品牌房企",85000,总价1000-2400(万/套),在售,4室,建面 125-240㎡
绿城·揽江印月,番禺,市桥,广州市番禺区沙头街道沙堤路700号汀岸花园,"低单价, 低总价, 车位充足, 绿化率高",29000,总价300-390(万/套),在售,"3室, 4室",建面 110-180㎡
珠江太古聚龙湾,荔湾,芳村,达江路珠江太古聚龙湾,"小型社区, 近地铁, 多轨交汇, 超市",价格待定,,待售,,
保利琶洲四季,海珠,琶洲东,琶洲街道保利琶洲四季,"人车分流, 封闭管理, 国央企, 品牌房企",40000,总价540(万/套),在售,3室,建面 105-129㎡
学畔公馆,番禺,国际创新城,兴业大道学畔公馆,"小型社区, 品牌房企, 地铁沿线, 公交直达",价格待定,,待售,,
中国铁建西派澜岸,南沙,明珠湾,长沙村西街中国铁建西派澜岸,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,待售,,
致景轩,海珠,广州大道南,广东省广州市海珠区华盛南路209号2层,"车位充足, 人车分流, 地铁沿线, 公交直达",52000,总价380-615(万/套),在售,"2室, 3室",建面 78-110㎡
珺筑水岸,南沙,万顷沙,广州市南沙区灵心支线与万新大道交叉口西行500米,"低单价, 低总价, 车位充足, 人车分流",17000,总价230-265(万/套),在售,4室,建面 138-156㎡
中海大境,海珠,广州大道南,新窖西路中海大境,"车位充足, 绿化率高, 国央企, 品牌房企",90000,总价1020-2700(万/套),在售,"3室, 4室, 5室",建面 125-270㎡
保利燕语堂悦,海珠,江燕路,广东省广州市海珠区工业大道中313号,"车位充足, 绿化率高, 国央企, 品牌房企",61000,总价450-780(万/套),在售,"3室, 4室",建面 78-125㎡
越秀天悦云啟,南沙,东涌,三沙公路越秀天悦云啟,"低单价, 低总价, 人车分流, 小型社区",价格待定,,待售,,
能建天河麓誉府,天河,高唐,广州天河奥体广汕二路高塘石地铁站往东约700米,"车位充足, 绿化率高, 国央企, 品牌房企",42000,总价340-620(万/套),在售,"3室, 4室, 5室",建面 80-125㎡
英广瑧尚,天河,沙河,先烈东横路英广瑧尚,"小型社区, 近地铁, 地铁沿线, 超市",价格待定,,待售,,
南沙开建·源筑新城,南沙,万顷沙,万新大道南沙开建·源筑新城,"低单价, 低总价, 车位充足, 人车分流",价格待定,,在售,,
保利华创都荟天珺,天河,员村,员村街道保利华创都荟天珺,"车位充足, 绿化率高, 国央企, 品牌房企",100000,总价1500-3000(万/套),在售,"4室, 5室",建面 157-253㎡
保利滨江和著,番禺,大石,广东省广州市番禺区南村镇兴南大道368号,"低总价, 车位充足, 绿化率高, 国央企",39000,总价420-580(万/套),在售,"3室, 4室",建面 86-142㎡
西派尊府,南沙,明珠湾,33号路西派尊府,"车位充足, 人车分流, 国央企, 品牌房企",50000,总价1200-1800(万/套),在售,4室,建面 278-370㎡
羊城时尚汇,增城,永宁,新新公路羊城时尚汇,"人车分流, 公交直达, 已交房2年内, 综合商场",价格待定,,待售,,
星河·盛世锦城,番禺,雅居乐,市新公路星河·盛世锦城,"车位充足, 人车分流, 品牌房企, 近地铁",价格待定,,待售,,
鹏瑞金融城,天河,东圃,黄埔大道东鹏瑞金融城,"小型社区, 近地铁, 多轨交汇, 超市",价格待定,,待售,,
保利琅悦,花都,旧区,云山大道保利琅悦,"车位充足, 绿化率高, 国央企, 品牌房企",24000,总价230-370(万/套),在售,"3室, 4室",建面 107-168㎡
越禧府,越秀,建设路,广州市越秀区先烈南路23号,"小型社区, 近地铁, 多轨交汇, 超市",价格待定,,在售,,
星河盛世禧悦,黄埔,开发东区,开创大道星河盛世禧悦,"低单价, 低总价, 车位充足, 绿化率高",24000,总价210-270(万/套),在售,"3室, 4室",建面 88-108㎡
中旅·阿那亚·九龙湖,花都,北兴镇,鸿鹤路微澜苑,"绿化率高, 低密居所, 国央企, 置换改善",23000,总价1050-1200(万/套),在售,"4室, 5室",建面 447-508㎡
天健东玥台,增城,中新镇,中新地铁站A口,"车位充足, 小型社区, 国央企, 品牌房企",价格待定,,待售,,
珠江广场,海珠,滨江东,海珠区滨江东路835号,"人车分流, 大型社区, 近地铁, 地铁沿线",80000,总价500-978(万/套),在售,"2室, 3室",建面 55-122㎡
品越华府,海珠,赤岗,金运路1号,"车位充足, 人车分流, 国央企, 品牌房企",140000,总价4700(万/套),在售,5室,建面 325㎡
城投湖山雅筑,花都,新区,商业大道城投湖山雅筑,"车位充足, 绿化率高, 国央企, 品牌房企",23000,总价220-325(万/套),在售,"3室, 4室",建面 94-133㎡
知城翰林湖畔花园,黄埔,知识城,创新大道知城翰林湖畔,"低单价, 低总价, 绿化率高, 人车分流",18000,总价105-220(万/套),在售,"3室, 4室",建面 66-103㎡
保利锦上印,荔湾,坑口,东漖街保利锦上印,"人车分流, 大型社区, 国央企, 品牌房企",价格待定,,待售,,
越秀万博城,番禺,汉溪长隆,万博CBD,"车位充足, 绿化率高, 国央企, 品牌房企",51000,总价630-1000(万/套),在售,4室,建面 103-188㎡
中国铁建花语上城,南沙,南沙区府,广州南沙蕉门河凤凰大道滨海实验学校（海语校区）对面,"车位充足, 人车分流, 国央企, 品牌房企",28500,总价275-420(万/套),在售,"3室, 4室",建面 98-140㎡
越秀·大学城·和樾府·飞鸟集,番禺,国际创新城,兴业大道越秀·大学城·和樾府,"车位充足, 人车分流, 国央企, 品牌房企",20000,总价70-96(万/套),在售,1室,建面 35-46㎡
中铁阅江来,南沙,南沙区府,黄阁南路中铁阅江来,"低总价, 车位充足, 人车分流, 国央企",24000,总价68-150(万/套),待售,1室,建面 24-70㎡
领峯中心,黄埔,科学城,联和街道岭胜广场,"小型社区, 近地铁, 地铁沿线, 超市",价格待定,,待售,,
大湾区诺德云城,白云,同德围,广东省广州市白云区棠乐路161号,"低总价, 国央企, 品牌房企, 近地铁",32000,总价110-219(万/套),在售,"1室, 2室, 3室",建面 35-75㎡
中建天钰,海珠,江燕路,广东省广州市海珠区工业大道南389号,"车位充足, 绿化率高, 国央企, 品牌房企",60000,总价498-818(万/套),在售,"3室, 4室",建面 89-134㎡
越秀·天荟江湾,海珠,工业大道南,广东省广州市海珠区大干围12号,"人车分流, 大型社区, 国央企, 品牌房企",800-1600,,待售,,建面 176-293㎡
大壮名城,黄埔,科学城,开泰大道与科丰路交汇处,"特价好房, 车位充足, 绿化率高, 近地铁",50000,总价450-860(万/套),在售,"2室, 4室",建面 88-143㎡
中建未来方洲,黄埔,文冲,石化路中建未来方洲,"低总价, 车位充足, 绿化率高, 国央企",42000,总价320-650(万/套),在售,"3室, 4室",建面 79-142㎡
雍晟河滨广场,从化,新城片区,城南路雍晟河滨广场,"人车分流, 小型社区, 品牌房企, 地铁沿线",15500,总价128-150(万/套),在售,4室,建面 58-98㎡
智都绿城凤凰于飞,花都,新区,广东省广州市花都区凤凰北路,"车位充足, 人车分流, 国央企, 品牌房企",23000,总价249-350(万/套),在售,"3室, 4室",建面 108-144㎡
广州城投禧悦时光,花都,镜湖大道,花都区新雅街道安雅路1号,"低总价, 车位充足, 绿化率高, 国央企",17000,总价125-210(万/套),在售,"3室, 4室",建面 78-118㎡
广地花园,番禺,星河湾,广东省广州市番禺区,"车位充足, 大型社区, 品牌房企, 地铁沿线",40000,总价450(万/套),在售,,
保利珠江印象&保利珠江天悦,荔湾,东塱,广东省广州市荔湾区,"车位充足, 绿化率高, 国央企, 品牌房企",48000,总价1020-2200(万/套),在售,4室,建面 69-295㎡
益云科创中心,白云,龙归,广东省广州市白云区大源街道益云科创中心(建设中),"车位充足, 人车分流, 地铁沿线, 超市",价格待定,,待售,,
招商臻园,增城,新塘北,永宁街新福路,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,待售,,
广州城投禧悦府,增城,凤凰城,汽车城大道广州城投禧阅盛汇,"大型社区, 国央企, 品牌房企, 近地铁",38000,总价240(万/套),在售,,
中新知识城国际领军人才集聚区,黄埔,知识城,广东省广州市黄埔区中新广州知识城凤凰四路17号,"小型社区, 近地铁, 地铁沿线, 综合商场",价格待定,,待售,,
中旅璞樾天序,花都,旧区,广州市花都区秀全三街1-38号,"低总价, 人车分流, 大型社区, 国央企",19000,总价128-255(万/套),在售,"3室, 4室",建面 80-128㎡
花都城投翰林世家,花都,花山镇,平西村十二队二街花都城投翰林世家,"车位充足, 绿化率高, 国央企, 品牌房企",18000,总价230-380(万/套),在售,4室,建面 131-171㎡
增江创业广场,增城,荔城增江,纬六路增江创业广场,"人车分流, 小型社区, 公交直达, 小户型",7850,总价26-37(万/套),在售,1室,建面 34-46㎡
